iter	Passed	Remaining
413	3441	4870
414	3448	4861
415	3459	4856
416	3475	4858
417	3478	4843
418	3487	4836
419	3501	4834
420	3512	4830
421	3521	4822
422	3527	4811
423	3529	4794
424	3539	4788
425	3546	4778
426	3555	4770
427	3563	4762
428	3573	4755
429	3580	4746
430	3591	4740
431	3600	4734
432	3610	4727
433	3618	4719
434	3625	4709
435	3633	4700
436	3642	4692
437	3658	4694
438	3667	4686
439	3677	4680
440	3680	4665
441	3691	4660
442	3701	4653
443	3709	4645
444	3719	4638
445	3727	4630
446	3736	4622
447	3745	4614
448	3755	4608
449	3765	4602
450	3773	4593
451	3783	4587
452	3791	4578
453	3800	4570
454	3809	4562
455	3819	4557
456	3827	4547
457	3836	4540
458	3845	4531
459	3854	4525
460	3863	4517
461	3871	4508
462	3880	4500
463	3888	4491
464	3897	4484
465	3907	4478
466	3917	4471
467	3925	4462
468	3935	4456
469	3944	4448
470	3953	4440
471	3962	4432
472	3969	4423
473	3977	4414
474	3986	4405
475	3995	4398
476	4005	4391
477	4015	4385
478	4023	4376
479	4032	4368
480	4040	4359
481	4049	4351
482	4057	4342
483	4067	4336
484	4075	4327
485	4084	4319
486	4093	4312
487	4100	4301
488	4107	4292
489	4119	4287
490	4129	4280
491	4137	4272
492	4147	4265
493	4155	4256
494	4164	4249
495	4172	4239
496	4180	4231
497	4188	4222
498	4197	4214
499	4206	4206
500	4216	4199
501	4224	4191
502	4233	4182
503	4242	4174
504	4253	4169
505	4264	4163
506	4273	4155
507	4281	4146
508	4290	4138
509	4298	4130
510	4309	4124
511	4318	4116
512	4328	4109
513	4337	4100
514	4345	4091
515	4354	4084
516	4362	4075
517	4371	4067
518	4379	4058
519	4388	4051
520	4396	4042
521	4405	4034
522	4413	4025
523	4424	4019
524	4432	4010
525	4441	4002
526	4449	3993
527	4458	3985
528	4465	3976
529	4475	3968
530	4483	3959
531	4492	3952
532	4501	3943
533	4509	3934
534	4517	3926
535	4526	3918
536	4534	3909
537	4542	3900
538	4550	3891
539	4558	3883
540	4567	3875
541	4575	3866
542	4584	3858
543	4591	3849
544	4600	3840
545	4608	3831
546	4617	3824
547	4625	3815
548	4635	3807
549	4644	3800
550	4655	3793
551	4664	3785
552	4671	3776
553	4680	3768
554	4689	3759
555	4697	3751
556	4705	3742
557	4715	3735
558	4723	3726
559	4733	3719
560	4742	3711
561	4753	3704
562	4762	3696
563	4771	3688
564	4780	3680
565	4788	3671
566	4799	3664
567	4806	3655
568	4815	3647
569	4823	3638
570	4832	3630
571	4840	3621
572	4850	3614
573	4858	3605
574	4868	3598
575	4876	3589
576	4884	3581
577	4893	3572
578	4902	3564
579	4911	3556
580	4919	3548
581	4929	3540
582	4936	3530
583	4945	3522
584	4953	3514
585	4963	3506
586	4971	3498
587	4980	3490
588	4988	3481
589	4997	3472
590	5005	3464
591	5014	3455
592	5022	3447
593	5029	3437
594	5037	3428
595	5047	3421
596	5055	3412
597	5065	3404
598	5073	3396
599	5080	3387
600	5089	3378
601	5098	3370
602	5107	3362
603	5115	3353
604	5124	3345
605	5131	3336
606	5140	3328
607	5147	3319
608	5156	3310
609	5165	3302
610	5174	3294
611	5184	3287
612	5192	3278
613	5201	3269
614	5210	3262
615	5219	3253
616	5227	3244
617	5235	3236
618	5245	3228
619	5255	3220
620	5266	3214
621	5276	3206
622	5284	3197
623	5293	3189
624	5301	3180
625	5309	3171
626	5317	3163
627	5326	3155
628	5335	3147
629	5343	3138
630	5351	3129
631	5359	3120
632	5370	3113
633	5378	3104
634	5388	3097
635	5396	3088
636	5407	3081
637	5420	3075
638	5430	3068
639	5443	3061
640	5452	3053
641	5463	3046
642	5476	3040
643	5489	3034
644	5502	3028
645	5511	3019
646	5519	3011
647	5527	3002
648	5536	2994
649	5544	2985
650	5553	2977
651	5562	2969
652	5570	2960
653	5581	2952
654	5590	2944
655	5599	2936
656	5608	2928
657	5620	2921
658	5630	2913
659	5642	2906
660	5651	2898
661	5663	2891
662	5671	2882
663	5681	2875
664	5690	2866
665	5701	2859
666	5714	2852
667	5721	2843
668	5731	2835
669	5740	2827
670	5750	2819
671	5761	2811
672	5769	2803
673	5779	2795
674	5788	2786
675	5797	2778
676	5805	2769
677	5814	2761
678	5822	2752
679	5831	2744
680	5839	2735
681	5848	2727
682	5856	2718
683	5864	2709
684	5872	2700
685	5879	2691
686	5887	2682
687	5895	2673
688	5904	2665
689	5914	2657
690	5922	2648
691	5929	2639
692	5937	2630
693	5946	2621
694	5954	2612
695	5962	2604
696	5971	2595
697	5980	2587
698	5990	2579
699	5998	2570
700	6007	2562
701	6015	2553
702	6025	2545
703	6034	2537
704	6043	2528
705	6052	2520
706	6060	2511
707	6068	2503
708	6076	2493
709	6084	2485
710	6092	2476
711	6100	2467
712	6108	2459
713	6116	2450
714	6127	2442
715	6136	2433
716	6144	2425
717	6153	2416
718	6162	2408
719	6172	2400
720	6179	2391
721	6189	2383
722	6197	2374
723	6206	2366
724	6215	2357
725	6226	2349
726	6236	2341
727	6244	2332
728	6253	2324
729	6263	2316
730	6273	2308
731	6282	2300
732	6290	2291
733	6300	2283
734	6309	2274
735	6319	2266
736	6327	2257
737	6338	2250
738	6347	2241
739	6355	2232
740	6364	2224
741	6371	2215
742	6379	2206
743	6387	2197
744	6396	2189
745	6405	2180
746	6415	2172
747	6423	2164
748	6434	2156
749	6444	2148
750	6454	2139
751	6463	2131
752	6472	2122
753	6481	2114
754	6487	2105
755	6498	2097
756	6505	2088
757	6515	2080
758	6523	2071
759	6532	2062
760	6541	2054
761	6552	2046
762	6562	2038
763	6570	2029
764	6581	2021
765	6589	2013
766	6599	2004
767	6608	1996
768	6617	1987
769	6628	1979
770	6637	1971
771	6647	1963
772	6659	1955
773	6668	1947
774	6676	1938
775	6685	1929
776	6695	1921
777	6703	1912
778	6713	1904
779	6721	1895
780	6731	1887
781	6740	1878
782	6748	1870
783	6758	1862
784	6769	1854
785	6779	1845
786	6789	1837
787	6797	1828
788	6807	1820
789	6815	1811
790	6825	1803
791	6833	1794
792	6843	1786
793	6853	1778
794	6865	1770
795	6878	1762
796	6886	1753
797	6897	1745
798	6906	1737
799	6915	1728
800	6925	1720
801	6937	1712
802	6948	1704
803	6960	1696
804	6971	1688
805	6990	1682
806	7000	1674
807	7008	1665
808	7016	1656
809	7025	1647
810	7034	1639
811	7042	1630
812	7051	1621
813	7059	1613
814	7071	1605
815	7085	1597
816	7094	1589
817	7104	1580
818	7111	1571
819	7121	1563
820	7129	1554
821	7139	1545
822	7148	1537
823	7157	1528
824	7166	1520
825	7176	1511
826	7186	1503
827	7194	1494
828	7203	1485
829	7212	1477
830	7222	1468
831	7236	1461
832	7246	1452
833	7255	1444
834	7265	1435
835	7273	1426
836	7284	1418
837	7294	1410
838	7303	1401
