iter	Passed	Remaining
404	8761	12871
405	8783	12850
406	8805	12829
407	8829	12812
408	8851	12789
409	8875	12772
410	8899	12754
411	8922	12733
412	8941	12708
413	8976	12705
414	9000	12687
415	9023	12667
416	9044	12645
417	9064	12621
418	9090	12605
419	9113	12584
420	9137	12566
421	9159	12545
422	9184	12528
423	9207	12508
424	9229	12487
425	9255	12471
426	9280	12454
427	9302	12432
428	9326	12413
429	9349	12393
430	9369	12370
431	9394	12351
432	9415	12328
433	9433	12302
434	9454	12279
435	9477	12259
436	9501	12240
437	9519	12214
438	9540	12191
439	9562	12170
440	9585	12150
441	9605	12126
442	9629	12108
443	9653	12088
444	9673	12064
445	9692	12039
446	9714	12017
447	9737	11997
448	9763	11981
449	9788	11963
450	9806	11937
451	9827	11914
452	9849	11892
453	9868	11868
454	9893	11849
455	9914	11827
456	9936	11806
457	9970	11799
458	9995	11781
459	10015	11757
460	10039	11738
461	10059	11714
462	10085	11697
463	10111	11680
464	10135	11660
465	10159	11641
466	10183	11622
467	10202	11598
468	10223	11574
469	10245	11553
470	10269	11534
471	10293	11514
472	10314	11491
473	10336	11470
474	10359	11450
475	10384	11431
476	10407	11411
477	10431	11392
478	10453	11370
479	10476	11349
480	10500	11330
481	10523	11309
482	10546	11289
483	10569	11267
484	10591	11246
485	10616	11228
486	10638	11206
487	10662	11187
488	10688	11169
489	10712	11149
490	10734	11128
491	10754	11104
492	10781	11087
493	10795	11058
494	10818	11037
495	10841	11016
496	10866	10997
497	10887	10974
498	10911	10955
499	10934	10934
500	10967	10923
501	10997	10910
502	11017	10886
503	11039	10864
504	11058	10839
505	11077	10814
506	11100	10793
507	11122	10771
508	11144	10749
509	11166	10728
510	11190	10708
511	11213	10687
512	11234	10664
513	11260	10646
514	11283	10626
515	11308	10607
516	11330	10585
517	11355	10566
518	11374	10542
519	11397	10520
520	11418	10497
521	11441	10476
522	11466	10457
523	11486	10434
524	11509	10413
525	11531	10391
526	11556	10372
527	11578	10350
528	11601	10329
529	11624	10308
530	11650	10289
531	11667	10264
532	11688	10241
533	11713	10221
534	11736	10201
535	11753	10174
536	11775	10152
537	11798	10131
538	11820	10110
539	11848	10093
540	11876	10076
541	11904	10059
542	11929	10039
543	11957	10023
544	11993	10013
545	12019	9993
546	12036	9967
547	12055	9943
548	12080	9924
549	12106	9905
550	12128	9883
551	12147	9858
552	12170	9837
553	12193	9816
554	12208	9788
555	12234	9769
556	12253	9745
557	12281	9728
558	12300	9704
559	12324	9683
560	12340	9656
561	12364	9636
562	12388	9615
563	12413	9596
564	12436	9574
565	12458	9552
566	12479	9529
567	12500	9507
568	12523	9485
569	12542	9461
570	12563	9439
571	12586	9418
572	12611	9398
573	12633	9376
574	12656	9354
575	12673	9328
576	12693	9305
577	12715	9283
578	12737	9261
579	12757	9237
580	12777	9214
581	12799	9192
582	12823	9172
583	12847	9151
584	12870	9130
585	12894	9109
586	12919	9089
587	12941	9067
588	12976	9055
589	13004	9037
590	13026	9014
591	13046	8991
592	13073	8972
593	13089	8946
594	13113	8925
595	13135	8904
596	13156	8881
597	13180	8860
598	13203	8838
599	13227	8818
600	13246	8794
601	13270	8773
602	13293	8752
603	13318	8732
604	13336	8707
605	13356	8684
606	13380	8663
607	13402	8641
608	13424	8618
609	13447	8597
610	13468	8574
611	13491	8553
612	13511	8530
613	13535	8509
614	13554	8485
615	13580	8465
616	13605	8445
617	13628	8424
618	13650	8402
619	13673	8380
620	13697	8359
621	13717	8336
622	13737	8313
623	13756	8288
624	13779	8267
625	13803	8246
626	13824	8224
627	13846	8201
628	13868	8179
629	13891	8158
630	13915	8137
631	13936	8114
632	13960	8093
633	13998	8080
634	14023	8060
635	14046	8039
636	14069	8017
637	14092	7995
638	14114	7974
639	14136	7951
640	14156	7928
641	14179	7906
642	14201	7884
643	14225	7863
644	14249	7842
645	14272	7821
646	14290	7796
647	14315	7776
648	14340	7755
649	14362	7733
650	14385	7712
651	14409	7691
652	14432	7669
653	14456	7648
654	14480	7627
655	14506	7606
656	14530	7586
657	14552	7563
658	14574	7541
659	14597	7519
660	14622	7499
661	14645	7477
662	14670	7456
663	14690	7433
664	14714	7412
665	14736	7390
666	14759	7368
667	14783	7347
668	14805	7325
669	14826	7302
670	14851	7281
671	14872	7259
672	14895	7237
673	14918	7215
674	14945	7196
675	14970	7175
676	15009	7160
677	15034	7140
678	15056	7118
679	15081	7096
680	15101	7073
681	15123	7051
682	15147	7030
683	15169	7008
684	15192	6986
685	15214	6963
686	15234	6940
687	15257	6919
688	15281	6897
689	15298	6873
690	15322	6851
691	15342	6828
692	15367	6807
693	15389	6785
694	15412	6763
695	15436	6742
696	15461	6721
697	15481	6698
698	15501	6675
699	15523	6653
700	15542	6629
701	15565	6607
702	15589	6586
703	15611	6563
704	15631	6540
705	15654	6518
706	15678	6497
707	15698	6474
708	15716	6450
709	15741	6429
710	15762	6406
711	15786	6385
712	15806	6362
713	15829	6340
714	15848	6317
715	15874	6296
716	15894	6273
717	15917	6251
718	15938	6229
719	15960	6207
720	15979	6183
721	16023	6169
722	16044	6146
723	16066	6124
724	16083	6100
725	16109	6080
726	16133	6058
727	16158	6037
728	16183	6016
729	16206	5994
730	16228	5972
731	16252	5950
732	16276	5928
733	16302	5907
734	16323	5885
735	16347	5863
736	16370	5841
737	16392	5819
738	16417	5798
739	16440	5776
740	16459	5752
741	16480	5730
742	16504	5708
743	16528	5687
744	16546	5663
745	16569	5641
746	16587	5618
747	16611	5596
748	16633	5574
749	16653	5551
750	16671	5527
751	16695	5506
752	16719	5484
753	16744	5463
754	16767	5441
755	16783	5416
756	16808	5395
757	16831	5373
758	16853	5351
759	16877	5329
760	16896	5306
761	16919	5284
762	16942	5262
763	16959	5238
764	16983	5217
765	17027	5201
766	17051	5179
767	17075	5158
768	17097	5135
769	17121	5114
770	17144	5092
771	17170	5070
772	17190	5048
773	17213	5026
774	17238	5004
775	17263	4983
